0.5 0.49 -0.47 1.82 -2.14 1.18 -2.03 2.02 1.12 -2 0.12 -1.92 -1.19 0.17 -1.01 1.96005123967337 -1.58364708510062 0.90678409366641 -0.785 0.0425 -0.2225 0.3204 -0.00835 -0.145
0.5 -0.51 -0.47 0.82 -2.14 0.18 1.97 -1.98 0.12 2 0.12 -1.92 -1.19 -1.83 0.99 0.0781261828860438 -0.119992446539873 0.386184783098842 0.465 -1.4575 0.2775 -0.2671 0.71415 0.105
-0.5 -0.51 -0.47 1.82 1.86 -0.82 -2.03 -1.98 -0.88 1 1.12 -0.92 0.81 -1.83 -1.01 0.290406674151013 -1.34972291501955 -0.615861276821505 -0.535 -0.2075 0.0275 0.2029 0.07665 -0.0475
-0.5 -0.51 -0.47 1.82 -1.14 -1.82 -0.0299999999999998 2.02 -0.88 -2 -1.88 0.0800000000000001 -0.19 -0.83 -1.01 1.19518394493462 -0.448765031052634 1.69421782755309 0.215 -0.4575 -1.2225 -0.1496 0.20415 0.5775
-0.5 -0.51 -0.47 1.82 1.86 -1.82 -2.03 -0.98 -1.88 -2 1.12 -1.92 -2.19 0.17 -2.01 1.80320399127212 1.44904434859991 0.280154775283532 -1.035 0.5425 -1.9725 0.4379 -0.30585 0.9525
-0.5 -0.51 -0.47 -2.18 -1.14 -1.82 -1.03 -1.98 2.12 -2 -1.88 -0.92 -2.19 -1.83 -2.01 -0.247514883208535 0.0109527239859132 -0.334327891090069 -1.535 -1.7075 -0.9725 0.6729 0.84165 0.4525
0.5 -0.51 0.53 -1.18 -1.14 -1.82 -1.03 2.02 1.12 1 -1.88 2.08 1.81 1.17 1.99 0.647341812117218 1.48845158834306 1.02747903394414 0.465 0.0425 0.5275 0.1979 -0.05085 0.23
0.5 0.49 0.53 -0.18 0.86 2.18 0.97 2.02 2.12 2 2.12 1.08 1.81 2.17 0.99 1.41852755979935 1.45578091469208 2.98723974306511 0.715 1.7925 2.0275 0.3304 0.84915 0.98
-0.5 0.49 0.53 1.82 -1.14 -1.82 0.97 2.02 1.12 1 2.12 2.08 1.81 2.17 1.99 0.568084318056706 2.24609764770637 1.72921828926465 1.715 1.2925 0.5275 0.8604 0.60415 -0.2975
-0.5 -0.51 0.53 1.82 -0.14 0.18 1.97 -1.98 0.12 1 2.12 2.08 -0.19 1.17 -2.01 0.379797292019532 0.486507755721365 1.10566106058589 0.965 0.2925 0.2775 0.4629 -0.17835 -0.1725
0.5 0.49 0.53 0.82 1.86 0.18 -0.0299999999999998 0.02 -0.88 1 0.12 0.0800000000000001 0.81 2.17 1.99 0.874611895777291 1.74403293974825 3.23698402483804 0.715 1.0425 0.2775 0.3304 0.48165 0.105
