0.48 -0.47 -0.49 1.71 2.37 1.97 -0.00999999999999979 1.2 -0.00999999999999979 0.18 -0.15 -2.12 -1.08 -0.14 1.98 -0.141856587662817 -1.6830877270423 -0.664370013078157 0.6616 1.2252 0.9812 -0.1396 0.582 -0.0296 0.0628000000000001 -0.134 -1.0952 -0.5568 -0.0344 0.8708 -0.7974 -1.1178 -0.7818 -0.0906 -0.578 -0.0706 -0.0592 0.011 0.8628 0.3752 -0.0484 -0.9912 -0.8958 -1.0826 -1.0006 0.0898 -0.806 -0.2002 -0.1664 -0.163 0.9176 0.4284 -0.0028 -1.0604
-0.52 -0.47 -0.49 0.71 -0.63 1.97 0.99 -0.8 -2.01 -1.82 -0.15 1.88 -1.08 -0.14 -2.02 -0.291066741360681 -0.965178038491461 -1.11230733767009 -0.5284 0.4152 -0.9888 -0.6496 0.422 1.0204 0.9228 0.016 -1.0552 0.5232 0.1056 0.9708 -0.3274 0.2922 -0.7818 -0.5606 0.362 0.8694 0.8808 0.011 -1.0172 0.3752 -0.0484 0.8888 -0.4058 0.3874 -1.0006 -0.4002 0.174 0.7798 0.8136 -0.163 -1.0424 0.4284 -0.0028 0.8996
-0.52 -0.47 -0.49 -2.29 1.37 1.97 -2.01 -1.8 -0.00999999999999979 -1.82 -2.15 -2.12 -2.08 -0.14 -1.02 -1.48272974916634 0.817051726961541 0.657551098490803 1.0316 -0.6248 -0.9888 0.9104 0.942 -0.0196 0.9228 1.056 1.0248 1.0432 0.1056 0.4508 1.0826 -0.6478 -0.7818 0.8494 0.832 -0.0706 0.8808 0.951 0.8628 0.8452 -0.0484 0.4188 1.0642 -0.5926 -1.0006 1.0698 0.664 -0.2002 0.8136 0.817 0.9176 0.9184 -0.0028 0.4096
0.48 0.53 -0.49 1.71 2.37 -0.0299999999999998 1.99 -1.8 1.99 1.18 1.85 0.88 1.92 1.86 1.98 -0.782179899278695 0.959552228017371 1.41788931299657 0.6616 1.2252 0.0212 0.8204 -0.858 0.9304 0.5428 0.826 0.3448 0.8832 0.9256 0.8708 0.9126 1.2522 0.1282 0.9594 -0.968 0.9794 0.6508 0.921 0.3328 0.8852 0.8716 0.9888 -0.8958 -1.0826 -0.0206 -0.8902 0.664 -1.1802 -0.6564 -1.143 -0.5524 -1.0416 -0.9828 -1.0604
0.48 0.53 0.51 -1.29 2.37 1.97 1.99 2.2 1.99 2.18 1.85 1.88 0.92 0.86 -1.02 0.570177525741228 -1.64631739335213 0.40921835163645 -0.7784 1.2252 0.9812 0.8204 1.062 0.9304 1.0228 0.826 0.8248 0.4032 0.4456 -0.5692 -0.6774 1.2522 1.1882 0.9594 1.152 0.9794 1.1808 0.921 0.8628 0.3552 0.3416 -0.6012 -0.7158 1.2874 0.9694 1.0998 0.904 0.8098 1.0336 0.707 0.8376 0.3684 0.3672 -0.6104
-0.52 -0.47 -0.49 0.71 2.37 -2.03 -2.01 1.2 -2.01 -1.82 -2.15 -0.12 -2.08 -1.14 -2.02 -0.920577159943431 -0.0874700519316277 1.13123758464423 -0.5284 -1.1448 1.0912 0.9104 -0.618 1.0204 0.9228 1.056 -0.0152 1.0432 0.6256 0.9708 -0.3274 -1.1178 1.0982 0.8494 -0.578 0.8694 0.8808 0.951 -0.0772 0.8452 0.4216 0.8888 -0.4058 -1.0826 0.9594 1.0698 -0.806 0.7798 0.8136 0.817 -0.0624 0.9184 0.4872 0.8996
-0.52 -0.47 -0.49 1.71 2.37 0.97 1.99 0.2 1.99 2.18 1.85 1.88 -1.08 0.86 1.98 0.221318595295469 2.05487231130705 2.01646064729826 -1.0484 -1.1448 -0.4688 -1.1696 -0.098 -1.0596 -1.1572 -1.024 -1.0552 0.5232 -0.4144 -1.1092 -0.7974 -1.1178 -0.3118 -1.0306 -0.108 -1.0106 -0.9992 -0.929 -1.0172 0.3752 -0.5184 -0.9912 -0.8958 -1.0826 -0.5106 -0.8902 -0.316 -1.1802 -1.1464 -1.143 -1.0424 0.4284 -0.4928 -1.0604
0.48 0.53 -0.49 -1.29 -1.63 -2.03 -2.01 -1.8 -1.01 -1.82 -2.15 -2.12 -1.08 -1.14 -2.02 1.65680922117646 1.35110639487062 2.37019819706127 -0.7784 -0.6948 -0.9388 -1.0996 -0.858 -0.5096 -0.8972 -1.094 -1.0952 -0.5568 -0.5144 -1.0492 -0.6774 -0.8678 -0.9318 -1.1606 -0.968 -0.6106 -0.9392 -1.199 -1.2572 -0.7048 -0.7184 -1.1312 0.5742 0.8774 0.9594 1.0698 0.664 0.2898 0.8136 0.817 0.9176 0.4284 0.4872 0.8996
-0.52 -0.47 -0.49 -0.29 -1.63 -2.03 -2.01 2.2 -2.01 0.18 -2.15 -2.12 -1.08 -0.14 -1.02 0.81280768174907 1.91213002099631 2.86528617441753 -0.00840000000000002 0.9352 1.0912 0.9104 -1.138 1.0204 -0.1172 1.056 1.0248 0.5232 0.1056 0.4508 0.1426 0.7622 1.0982 0.8494 -1.048 0.8694 -0.0592 0.951 0.8628 0.3752 -0.0484 0.4188 0.0842 0.8774 0.9594 1.0698 -1.296 0.7798 -0.1664 0.817 0.9176 0.4284 -0.0028 0.4096
-0.52 -0.47 -0.49 1.71 1.37 1.97 1.99 2.2 1.99 2.18 -2.15 1.88 1.92 1.86 1.98 -0.222629945544136 1.35324771410883 0.910603606056982 -1.0484 -0.6248 -0.9888 -1.1696 -1.138 -1.0596 -1.1572 1.056 -1.0552 -1.0368 -0.9344 -1.1092 -0.7974 -0.6478 -0.7818 -1.0306 -1.048 -1.0106 -0.9992 0.951 -1.0172 -1.0348 -0.9884 -0.9912 -0.8958 -0.5926 -1.0006 -0.8902 -1.296 -1.1802 -1.1464 0.817 -1.0424 -1.0416 -0.9828 -1.0604
